ticker,positive returns
ITRI,64
ITRN,67
ITT,69
ITUB,63
ITW,73
IVAC,55
IVC,55
IVR,67
IVZ,62
IX,64
J,62
JACK,74
JAKK,53
JAN,46
JAZZ,64
JBHT,68
JBL,63
JBLU,66
JBSS,69
JBT,70
JCI,75
JCOM,73
JCS,55
JCTCF,59
JEF,64
JHG,64
JHX,70
JJSF,73
JKHY,79
JKS,62
JLL,66
JMP,62
JNJ,76
JNPR,59
JOB,49
JOBS,65
JOE,62
JOUT,69
JPM,72
JRJC,47
JVA,49
JW-A,60
JWN,69
K,69
KAI,72
KALU,68
KAMN,65
KAR,68
KB,55
KBAL,59
KBH,67
KBR,57
KDP,75
KELYA,62
KEP,55
KEQU,61
KEX,65
KEY,73
KFFB,62
KFRC,64
KFS,63
KFY,68
KGC,52
KIM,62
KINS,62
KIRK,62
KKR,70
KLAC,75
KLIC,65
KMB,72
KMI,66
KMPR,65
KMT,66
KMX,68
KNDI,50
KNL,60
KNX,70
KO,75
KOF,65
KOP,69
KOPN,60
KOSS,57
KR,74
KRA,63
KRC,65
KRG,63
KRMD,60
KRNY,61
KRO,60
KSPN,58
KSS,68
KSU,74
KT,61
KTCC,54
KTOS,60
KVHI,55
KW,66
KWR,71
L,62
LAD,76
LAKE,56
LAMR,71
LANC,75
LARK,72
LAWS,66
LAZ,72
LB,64
LBAI,68
LBC,20
LBTYK,59
LCI,61
LCII,70
LCNB,66
LCTX,54
LCUT,56
LDL,69
LDOS,67
LEA,75
LEAF,56
LECO,66
LEDS,49
LEE,57
LEG,73
LEN,71
LEU,45
LEXX,45
LFC,56
LFMD,53
LFUS,68
LFVN,46
LGL,57
LGND,70
LH,74
LHCG,72
LHX,68
LII,75
LINC,52
LIVE,57
LIXT,51
LJPC,52
LKFN,71
LKQ,75
LL,65
LLIT,51
LLNW,56
LLY,76
LMAT,75
LMNR,63
LMNX,62
LMST,56
LMT,81
LNC,70
LNDC,60
LNG,69
LNN,70
LNT,77
LOAN,64
LODE,51
LOGI,73
LOPE,74
LORL,59
LOV,56
LOW,75
LPL,56
LPLA,75
LPSN,64
LPTH,49
LPX,67
LQDT,60
LRCX,77
LRN,62
LSBK,67
LSCC,61
LSI,68
LSTR,70
LTBR,48
LTC,64
LTRX,54
LUB,50
LULU,64
LUMN,56
LUNA,61
LUV,73
LVS,66
LWAY,54
LXP,65
LXRX,56
LXU,57
LYB,71
LYG,59
LYTS,64
LYV,66
LZB,64
M,69
MA,83
MAA,76
MAC,60
MAG,58
MAGS,61
MAIN,81
MAN,70
MANH,74
MANT,69
MAR,66
MARK,53
MARPS,55
MAS,68
MASI,71
MAT,65
MATW,65
MATX,65
MAXR,59
MAYS,55
MBCN,66
MBI,58
MBOT,42
MBT,61
MBWM,74
MCBC,66
MCD,73
MCF,50
MCHP,71
MCHX,62
MCK,61
MCO,77
MCRI,69
MCS,67
MCY,64
MD,62
MDC,67
MDCA,61
MDGL,56
MDLZ,69
MDNA,18
MDP,58
MDRX,57
