symbol,name,sector,industry
SIRI,Sirius XM Holdings Inc,CONSUMERSVCE,MEDIAPUB
SIX,Six Flags Entertainment Corp,CONSUMERSVCE,HOSPITALITY
SSP,Scripps (E.W.) Co (The),CONSUMERSVCE,MEDIAPUB
SYY,Sysco Corporation,CONSUMERSVCE,HOSPITALITY
TAST,Carrols Restaurant Group Inc,CONSUMERSVCE,HOSPITALITY
TCOM,Trip com Group Ltd,CONSUMERSVCE,HOSPITALITY
TGNA,TEGNA Inc,CONSUMERSVCE,MEDIAPUB
TNL,Travel Plus Leisure Co,CONSUMERSVCE,HOSPITALITY
TXRH,Texas Roadhouse Inc,CONSUMERSVCE,HOSPITALITY
TZOO,Travelzoo,CONSUMERSVCE,HOSPITALITY
VALU,Value Line Inc,CONSUMERSVCE,MEDIAPUB
VIAC,ViacomCBS Inc,CONSUMERSVCE,MEDIAPUB
WEN,Wendy's Co,CONSUMERSVCE,HOSPITALITY
WHLM,Wilhelmina International Inc,CONSUMERSVCE,MEDIAPUB
WWE,World Wrestling Entertainment Inc.,CONSUMERSVCE,MEDIAPUB
WYNN,Wynn Resorts Ltd,CONSUMERSVCE,HOSPITALITY
XPER,Xperi Holding Corp,CONSUMERSVCE,MEDIAPUB
YUM,YUM! Brands Inc.,CONSUMERSVCE,HOSPITALITY
AAP,Advance Auto Parts Inc.,CYCLICALS,AUTORETAIL
ABG,Asbury Automotive Group Inc,CYCLICALS,AUTORETAIL
ACCO,ACCO Brands Corp,CYCLICALS,LEISURE
ACU,Acme United Corp,CYCLICALS,LEISURE
AEO,American Eagle Outfitters Inc.,CYCLICALS,APPARELRETAIL
ALV,Autoliv Inc,CYCLICALS,VEHICLE
AMWD,American Woodmark Corp,CYCLICALS,APPLIANCESFURN
AN,AutoNation Inc,CYCLICALS,AUTORETAIL
ANF,Abercrombie & Fitch Co.,CYCLICALS,APPARELRETAIL
AXL,American Axle & Manufacturing Holdings Inc,CYCLICALS,VEHICLE
AZO,AutoZone Inc,CYCLICALS,AUTORETAIL
BBBY,Bed Bath & Beyond Inc.,CYCLICALS,HOMEIMPROVE
BBW,Build-A-Bear Workshop Inc,CYCLICALS,ELECTRONICSENTRETAIL
BBY,Best Buy Co Inc,CYCLICALS,ELECTRONICSENTRETAIL
BC,Brunswick Corp,CYCLICALS,VEHICLE
BGFV,Big 5 Sporting Goods Corp,CYCLICALS,ELECTRONICSENTRETAIL
BGI,Birks Group Inc,CYCLICALS,APPARELRETAIL
BKE,Buckle Inc. (The),CYCLICALS,APPARELRETAIL
BSET,Bassett Furniture Industries Inc.,CYCLICALS,APPLIANCESFURN
BWA,BorgWarner Inc,CYCLICALS,VEHICLE
BZH,Beazer Homes USA Inc.,CYCLICALS,HOMEBUILDMANUF
CAAS,China Automotive Systems Inc,CYCLICALS,VEHICLE
CAL,Caleres Inc,CYCLICALS,APPARELRETAIL
CAR,Avis Budget Group Inc,CYCLICALS,AUTORETAIL
